Element,Symbol,Type,At_No,r_A,r_cov,EN_Pauling,EN_Allen,VEC,density,Tm,Work_Function,n_WS,V_m,R_P,E_GPa,G_GPa,H_Vick,Coh_E,Bulk_Mod,Compressibility,cry_str
Tungsten,W,transition,74,1.37,1.5,2.36,1.47,6,19.3,3687,4.8,5.93,9.55,1,407,152,480,8.9,3.232,0.309,bcc
Rhenium,Re,transition,75,1.38,1.41,1.9,1.6,7,20.8,3458,5.2,6.33,8.85,1,520,180,5,8.03,3.72,0.269,hcp
Osmium,Os,transition,76,1.35,1.36,2.2,1.65,8,22.59,3306,5.4,6.33,8.45,1,559,223,800,8.17,4.18,0.24,hcp
Iridium,Ir,transition,77,1.36,1.32,2.2,1.68,9,22.56,2719,5.55,6.13,8.52,1,528,209,1760,6.94,3.55,0.282,fcc
Platinum,Pt,transition,78,1.39,1.3,2.28,1.72,10,21.5,2041.2,5.65,5.64,9.1,1,170,60.9,560,5.84,2.783,0.359,fcc
Gold,Au,transition,79,1.44,1.3,2.54,1.92,11,19.3,1337.18,5.15,3.87,10.2,0.3,78,26,216,3.81,1.732,0.577,fcc
Thallium,Tl,non_transition,81,1.72,1.44,1.62,1.79,3,11.8,577,3.9,1.4,17.23,1.9,7.89,2.67,9,1.88,0.359,2.79,hcp
Lead,Pb,non_transition,82,1.75,1.45,2.33,1.85,4,11.3,600.46,4.1,1.52,18.28,2.1,15.8,5.54,39,2.03,0.43,2.33,fcc
Thorium,Th,transition,90,1.8,1.9,1.3,0,3,11.7,2023,3.3,2.1,19.8,0.7,0,0,0,6.2,0.543,1.84,fcc
Uranium,U,transition,92,1.42,1.83,1.38,0,3,19.1,1408,3.9,3.44,13.15,1,0,0,0,5.55,0.987,1.01,complex
Vacancy,Va,0,0,0,0,0,0,0,0,0,0,2.9,10,0,0,0,0,0,0,0,0
